Field,value
@xmlns,http://pdbe.org/empiar
@xmlns:xsi,http://www.w3.org/2001/XMLSchema-instance
@xsi:schemaLocation,https://ftp.ebi.ac.uk/pub/databases/emtest/empiar/schema/empiar.xsd
@accessionCode,EMPIAR-11759
@schemaVersion,0.64
@public,true
admin.currentStatus,REL
admin.keyDates.depositionDate,2023-11-01
admin.keyDates.releaseDate,2024-01-15
admin.keyDates.updateDate,2024-01-15
admin.title,Developing retina in zebrafish 55 hpf larval eye.
admin.correspondingAuthor.@private,true
admin.correspondingAuthor.firstName,Michaela
admin.correspondingAuthor.lastName,Wilsch-Bräuninger
admin.correspondingAuthor.organization.@type,academic
admin.correspondingAuthor.organization.#text,Max Planck Institute of Molecular Cell Biology and Genetics
admin.correspondingAuthor.townOrCity,Dresden
admin.correspondingAuthor.country,Germany
admin.correspondingAuthor.postOrZipCode,01307
admin.principalInvestigator.@private,true
admin.principalInvestigator.firstName,Michaela
admin.principalInvestigator.lastName,Wilsch-Bräuninger
admin.principalInvestigator.organization.@type,academic
admin.principalInvestigator.organization.#text,Max Planck Institute of Molecular Cell Biology and Genetics
admin.principalInvestigator.townOrCity,Dresden
admin.principalInvestigator.country,Germany
admin.principalInvestigator.postOrZipCode,01307
admin.authorsList.author,Wilsch-Bräuninger M
admin.grantSupport.grantReference.fundingBody,
admin.grantSupport.grantReference.code,
admin.grantSupport.grantReference.country,
admin.datasetSize.@units,GB
admin.datasetSize.#text,1.2
admin.entryDOI,10.6019/EMPIAR-11759
admin.experimentType,SBF-SEM
admin.scale,tissue
crossReferences.citationList.universalCitation.nonJournalCitation.@published,false
crossReferences.citationList.universalCitation.nonJournalCitation.author.@order,1
crossReferences.citationList.universalCitation.nonJournalCitation.author.#text,Wilsch-Bräuninger M
crossReferences.citationList.universalCitation.nonJournalCitation.bookTitle,Developing retina in zebrafish 55 hpf larval eye.
crossReferences.citationList.universalCitation.nonJournalCitation.publisher,
crossReferences.citationList.universalCitation.nonJournalCitation.publicationLocation,
crossReferences.citationList.universalCitation.nonJournalCitation.country,
imageSet.name,Developing retina in zebrafish 55 hpf larval eye.
imageSet.directory,/data
imageSet.category,reconstructed volumes
imageSet.headerFormat,DM3
imageSet.dataFormat,DM3
imageSet.numImagesOrTiltSeries,16
imageSet.framesPerImage,1
imageSet.voxelType,UNSIGNED BYTE
imageSet.dimensions.imageWidth,5628
imageSet.dimensions.pixelWidth,80.0
imageSet.dimensions.imageHeight,5632
imageSet.dimensions.pixelHeight,80.0
imageSet.details,"Developing retina in zebrafish 55 hpf larval eye. 
It is a SBF-SEM data set. 
The resolution is 8nm/px in xy and 50nm per section (z). 

If this is also where to enter, the acquisition conditions on the FEI Magellan400 SEM were 1.9kV accelerating voltage and 200pA current at 0.5 usec dwell time. 
The microtome unit of the SBF-SEM is called Gatan 3ViewXP."
imageSet.segmentationList,
imageSet.micrographsFilePattern,
imageSet.pickedParticlesFilePattern,
imageSet.pickedParticlesDirectory,
